Year;PatriotSignal;DemandForPatriotism;NonPatriotSignal
0;0;0;0
0;48;55;51
20;67;32;45
40;74;25;47
60;76;22;44
80;77;22;49
100;75;25;52
120;77;27;59
140;78;28;62
160;77;29;63
180;79;34;62
200;79;35;61
220;84;39;61
240;86;41;59
260;84;41;59
280;84;41;60
300;84;44;59
320;84;43;60
340;84;43;61
360;83;47;59
380;82;43;61
400;81;46;61
420;81;43;60
440;79;41;59
460;78;43;58
480;78;41;57
500;76;35;57
520;77;41;57
540;80;48;59
560;78;48;60
580;79;51;57
600;77;49;60
620;78;48;60
640;74;49;57
660;74;49;56
680;74;51;53
700;73;54;54
720;73;54;53
740;71;53;55
760;70;51;53
780;69;53;54
800;69;51;55
820;69;51;55
840;69;53;56
860;69;53;58
880;68;53;57
900;68;53;61
920;67;49;58
940;66;49;61
960;66;49;59
980;64;48;60
1000;65;46;56
1020;64;43;53
1040;63;40;50
1060;61;35;49
1080;62;35;50
1100;62;35;52
1120;61;38;51
1140;61;39;51
1160;61;40;56
1180;61;40;60
1200;61;38;61
1220;61;32;60
1240;62;34;58
1260;62;37;58
1280;60;40;60
1300;60;41;58
1320;61;42;60
1340;61;45;62
1360;61;45;63
1380;59;45;65
1400;60;47;67
1420;60;47;66
1440;62;49;68
1460;62;48;68
1480;62;50;66
1500;64;45;64
1520;66;46;61
1540;66;47;61
1560;66;44;60
1580;65;42;59
1600;65;40;60
1620;66;41;59
1640;66;42;60
1660;67;40;60
1680;66;39;57
1700;65;43;58
1720;65;46;61
1740;64;44;64
1760;66;42;64
1780;66;42;65
1800;65;43;63
1820;65;44;64
1840;66;44;66
1860;66;45;66
1880;65;42;65
1900;65;45;66
1920;64;44;63
1940;64;42;65
1960;64;34;64
1980;65;37;60
2000;64;37;57
2020;64;36;57
2040;65;35;55
2060;67;31;56
2080;67;32;60
2100;65;38;59
2120;64;39;57
2140;63;39;57
2160;64;37;60
2180;63;38;59
2200;65;32;59
2220;63;29;58
2240;63;35;58
2260;65;34;58
2280;63;34;59
2300;62;39;62
2320;62;39;62
2340;62;37;65
2360;64;40;68
2380;65;41;68
2400;64;37;65
2420;64;41;63
2440;64;46;67
2460;63;48;68
2480;62;50;66
2500;61;52;63
2520;61;53;62
2540;61;53;64
2560;60;52;62
2580;59;52;60
2600;59;52;59
2620;59;50;56
2640;59;49;60
2660;58;50;61
2680;59;49;61
2700;59;51;60
2720;59;52;62
2740;59;50;62
2760;60;47;62
2780;61;47;59
2800;62;47;57
2820;60;47;51
2840;60;47;53
2860;60;49;51
2880;59;46;50
2900;58;46;45
2920;58;47;45
2940;60;49;45
2960;60;49;40
2980;59;45;45
3000;59;45;54
3020;59;43;51
3040;59;45;53
3060;59;48;50
3080;59;49;53
3100;59;50;54
3120;59;50;58
3140;58;48;61
3160;58;49;62
3180;58;48;67
3200;57;47;68
3220;57;47;67
3240;57;46;71
3260;59;42;72
3280;60;44;73
3300;59;45;72
3320;59;47;74
3340;61;47;73
3360;61;47;73
3380;62;49;74
3400;62;49;76
3420;62;50;78
3440;59;48;81
3460;59;48;84
3480;60;47;83
3500;60;45;82
3520;60;41;81
3540;59;40;84
3560;58;42;84
3580;58;38;86
3600;57;36;84
3620;59;38;84
3640;58;36;84
3660;57;34;86
3680;58;39;86
3700;59;44;86
3720;60;46;86
3740;60;46;84
3760;61;47;82
3780;61;47;82
3800;61;48;81
3820;62;47;81
3840;61;46;82
3860;62;44;83
3880;62;46;84
3900;62;47;86
3920;63;46;85
3940;62;41;83
3960;62;40;83
3980;61;40;84
4000;61;41;83
4020;61;41;84
4040;61;43;85
4060;61;40;85
4080;61;37;84
4100;61;32;83
4120;61;30;85
4140;61;32;83
4160;61;32;84
4180;60;29;84
4200;61;30;83
4220;59;34;85
4240;60;39;83
4260;61;36;85
4280;63;32;88
4300;64;36;86
4320;64;37;83
4340;66;38;82
4360;67;42;81
4380;68;43;80
4400;67;44;79
4420;65;43;80
4440;65;42;81
4460;63;39;81
4480;63;38;79
4500;61;35;76
4520;62;33;76
4540;62;32;75
4560;63;31;75
4580;64;30;74
4600;64;34;73
4620;64;29;75
4640;64;36;77
4660;64;33;78
4680;64;35;78
4700;64;35;82
4720;64;45;85
4740;63;46;86
4760;63;47;85
4780;62;49;87
4800;62;50;88
4820;62;51;88
4840;62;48;85
4860;61;50;84
4880;60;49;86
4900;60;48;84
4920;60;46;82
4940;59;49;85
4960;59;52;85
4980;59;51;85
5000;60;52;86
5020;59;51;85
5040;59;52;81
5060;59;52;79
5080;59;52;77
5100;58;51;75
5120;59;48;77
5140;58;47;77
5160;58;49;75
5180;59;52;73
5200;59;52;72
5220;59;53;69
5240;59;53;68
5260;59;52;63
5280;59;53;65
5300;59;53;64
5320;59;53;65
5340;58;52;64
5360;59;47;60
5380;59;45;60
5400;59;49;61
5420;59;52;61
5440;59;53;62
5460;60;52;65
5480;60;53;64
5500;59;53;66
5520;59;53;67
5540;59;52;67
5560;59;52;68
5580;59;54;70
5600;59;53;70
5620;59;53;68
5640;59;52;65
5660;59;51;64
5680;59;53;67
5700;59;53;66
5720;60;53;66
5740;60;53;65
5760;61;53;64
5780;60;53;62
5800;60;53;62
5820;60;53;64
5840;59;53;63
5860;59;53;61
5880;59;53;64
5900;60;53;68
5920;60;53;66
5940;61;53;68
5960;60;51;68
5980;60;50;69
6000;60;52;66
6020;61;51;69
6040;61;53;68
6060;61;53;69
6080;62;53;68
6100;62;52;66
6120;62;52;65
6140;63;52;66
6160;63;52;61
6180;63;53;62
6200;62;53;64
6220;61;52;62
6240;61;52;67
6260;62;51;70
6280;62;50;68
6300;60;51;66
6320;60;52;65
6340;59;53;63
6360;60;52;65
6380;60;50;69
6400;60;50;68
6420;60;51;72
6440;60;52;73
6460;60;53;76
6480;60;53;76
6500;60;53;78
6520;60;54;79
6540;60;54;76
6560;62;53;76
6580;61;52;78
6600;60;52;82
6620;60;50;82
6640;60;50;77
6660;60;47;75
6680;60;43;80
6700;59;44;78
6720;58;51;81
6740;59;52;82
6760;60;51;78
6780;60;52;79
6800;60;53;77
6820;59;52;81
6840;59;51;82
6860;59;51;84
6880;60;53;82
6900;60;53;81
6920;60;54;80
6940;60;53;85
6960;60;52;82
6980;60;53;82
7000;60;53;81
7020;60;53;79
7040;61;51;75
7060;61;50;71
7080;60;48;72
7100;60;47;75
7120;59;40;77
7140;60;43;74
7160;60;42;70
7180;60;43;67
7200;59;41;62
7220;59;45;69
7240;58;46;67
7260;59;44;68
7280;59;40;63
7300;60;40;61
7320;59;38;56
7340;60;39;58
7360;61;34;56
7380;60;32;61
7400;60;30;64
7420;59;30;70
7440;60;34;68
7460;60;33;65
7480;59;37;62
7500;60;37;66
7520;60;37;69
7540;60;39;70
7560;60;32;69
7579;60;30;70
